facebook.com, 57.144.104.1
yahoo.com, 98.137.11.163
youtube.com, 142.250.72.14
msn.com, 204.79.197.219
live.com, 204.79.197.212
blogspot.com, 142.250.72.9
wikipedia.org, 208.80.153.224
bing.com, 150.171.28.10
microsoft.com, 13.107.246.59
qq.com, 123.150.76.218
taobao.com, 59.82.43.239
163.com, 59.111.160.244
ask.com, 199.232.66.114
twitter.com, 172.66.0.227
mozilla.com, 35.190.14.201
adobe.com, 23.222.27.34
sdjjdsaf.com, NOT_RESOLVED
andysayler.com, 159.89.253.85
youku.com, 106.11.35.97
amazon.com, 205.251.242.103
wordpress.com, 192.0.78.9
wmfo.org, 23.92.21.128
sina.com.cn, 36.51.254.91
tudou.com, 106.11.43.71
apple.com, 17.253.144.10
baidu.com, NOT_RESOLVED
windows.com, 20.70.246.20
ebay.com, 23.194.127.145
yahoo.co.jp, 183.79.249.124
sohu.com, 61.135.164.50
hao123.com, 124.237.176.248
soso.com, 43.153.236.147
paypal.com, 151.101.3.1
fc2.com, 199.48.210.151
tmall.com, 59.82.133.159
pps.tv, 202.108.14.129
xunlei.com, 121.41.61.107
about.com, 151.101.2.137
56.com, 219.136.249.83
ifeng.com, 82.156.59.186
sogou.com, 43.153.236.147
orkut.com.br, 208.109.60.213
bbc.co.uk, 151.101.192.81
myspace.com, 34.111.176.156
rakuten.co.jp, 133.237.180.69
cnet.com, 34.149.196.126
go.com, 76.223.18.1
4399.com, 129.211.129.109
orkut.com, 216.239.32.21
yandex.ru, 77.88.44.55
skype.com, 20.236.44.162
goo.ne.jp, 114.179.184.93
naver.com, 223.130.200.236
ameblo.jp, 199.232.210.133
mail.ru, 217.69.139.202
flickr.com, 18.238.160.101
linkedin.com, 150.171.22.12
amazon.co.jp, 52.119.168.48
aol.com, 13.248.158.7
imdb.com, 52.94.228.167
alipay.com, 110.76.8.255
4shared.com, 204.155.149.41
dailymotion.com, 195.8.215.136
softonic.com, 151.101.1.91
imageshack.us, 208.94.3.19
cnn.com, 151.101.195.5
mywebsearch.com, 199.232.66.114
zynga.com, 108.157.142.30
nifty.com, 222.158.213.148
partypoker.com, 195.72.135.91
walmart.com, 23.73.185.225
kugou.com, 49.7.106.144
ebay.de, 23.194.127.144
hp.com, 15.73.145.56
hotfile.com, 18.207.9.28
youdao.com, 220.197.31.37
qiyi.com, 202.108.14.120
paipai.com, 36.110.181.228
jp.msn.com, NOT_RESOLVED
ku6.com, 117.50.1.222
odnoklassniki.ru, 217.20.155.13
hotmail.com, 204.79.197.212
weather.com, 23.37.97.89
craigslist.org, 208.82.238.129
pconline.com.cn, 183.61.120.237
alibaba.com, 47.246.136.52
soku.com, 106.11.47.19
megaupload.com, NOT_RESOLVED
livedoor.jp, 147.92.240.79
blogger.com, 142.250.72.73
360.cn, 106.63.103.5
rapidshare.com, 0.0.0.0
answers.com, 151.101.0.203
daum.net, 121.53.105.193
7k7k.com, 106.75.33.163
vkontakte.ru, 93.186.225.194
mediafire.com, 104.17.151.117
2345.com, 139.196.82.176
ehow.com, 172.64.150.140
photobucket.com, 65.8.243.63
seesaa.net, 138.2.21.1
renren.com, 123.235.31.41
tianya.cn, NOT_RESOLVED
