youtube.com, 142.250.72.78
msn.com, 204.79.197.219
live.com, 204.79.197.212
facebook.com, 57.144.104.1
yahoo.com, 74.6.231.20
blogspot.com, 142.250.72.9
microsoft.com, 13.107.246.66
bing.com, 150.171.27.10
wikipedia.org, 208.80.153.224
baidu.com, NOT_RESOLVED
taobao.com, 59.82.121.163
ask.com, 199.232.66.114
adobe.com, 23.38.100.195
twitter.com, 162.159.140.229
mozilla.com, 35.190.14.201
sina.com.cn, 36.51.254.91
sdjjdsaf.com, NOT_RESOLVED
andysayler.com, 159.89.253.85
qq.com, 113.108.81.189
wmfo.org, 23.92.21.128
163.com, 59.111.160.244
youku.com, 106.11.35.97
soso.com, 43.153.236.147
